tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,VZ,1.0033582,0,0,0,0
2023-02-02,VZ,0.9923497,0,0,0,0
2023-02-03,VZ,0.99445933,0,0,0,0
2023-02-06,VZ,0.9823159,0,0,0,0
2023-02-07,VZ,0.9992602,0,0,0,0
2023-02-08,VZ,0.9824778,0,0,0,0
2023-02-09,VZ,1.0050238,0,0,0,0
2023-02-10,VZ,1.007748,0,0,0,0
2023-02-13,VZ,1.0002482,0,0,0,0
2023-02-14,VZ,1.0012395,0,0,0,0
2023-02-15,VZ,0.9866272,0,0,0,0
2023-02-16,VZ,1.0095379,0,0,0,0
2023-02-17,VZ,0.9746395,0,0,0,0
2023-02-21,VZ,1.0020407,0,0,0,0
2023-02-22,VZ,0.98090637,0,0,0,0
2023-02-23,VZ,1.0054504,0,0,0,0
2023-02-24,VZ,1.0036136,0,0,0,0
2023-02-27,VZ,0.9981999,0,0,0,0
2023-02-28,VZ,0.98685896,0,0,0,0
2023-03-01,VZ,1.002872,0,0,0,0
2023-03-02,VZ,0.9960949,0,0,0,0
2023-03-03,VZ,0.9971249,0,0,0,0
2023-03-06,VZ,0.99370897,0,0,0,0
2023-03-07,VZ,0.98997635,0,0,0,0
2023-03-08,VZ,0.97388756,0,0,0,0
2023-03-09,VZ,1.003557,0,0,0,0
2023-03-10,VZ,0.9961831,0,0,0,0
2023-03-13,VZ,1.0093049,0,0,0,0
2023-03-14,VZ,1.0048807,0,0,0,0
2023-03-15,VZ,0.9870481,0,0,0,0
2023-03-16,VZ,1.005741,0,0,0,0
2023-03-17,VZ,1.0173957,0,0,0,0
2023-03-20,VZ,1.0082822,0,0,0,0
2023-03-21,VZ,0.98860645,0,0,0,0
2023-03-22,VZ,1.0016081,0,0,0,0
2023-03-23,VZ,1.00776,0,0,0,0
2023-03-24,VZ,1.010356,0,0,0,0
2023-03-27,VZ,0.9986857,0,0,0,0
2023-03-28,VZ,1.0126317,0,0,0,0
2023-03-29,VZ,1.0046778,0,0,0,0
2023-03-30,VZ,1.0059491,0,0,0,0
2023-03-31,VZ,1.0084858,0,0,0,0
