tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,XOM,0.9687118,0,0,0,0
2023-02-02,XOM,1.0069276,0,0,0,0
2023-02-03,XOM,0.9983024,0,0,0,0
2023-02-06,XOM,1.028551,0,0,0,0
2023-02-07,XOM,0.99129826,0,0,0,0
2023-02-08,XOM,1.0037745,0,0,0,0
2023-02-09,XOM,1.0421513,0,0,0,0
2023-02-10,XOM,0.9961103,0,0,0,0
2023-02-13,XOM,0.9882851,0,0,0,0
2023-02-14,XOM,0.9969936,0,0,0,0
2023-02-15,XOM,0.99707085,0,0,0,0
2023-02-16,XOM,0.9615484,0,0,0,0
2023-02-17,XOM,0.99901146,0,0,0,0
2023-02-21,XOM,0.98704696,0,0,0,0
2023-02-22,XOM,1.0092044,0,0,0,0
2023-02-23,XOM,1.0000904,0,0,0,0
2023-02-24,XOM,0.998194,0,0,0,0
2023-02-27,XOM,0.9942109,0,0,0,0
2023-02-28,XOM,1.0089164,0,0,0,0
2023-03-01,XOM,1.0045991,0,0,0,0
2023-03-02,XOM,1.012657,0,0,0,0
2023-03-03,XOM,1.0088645,0,0,0,0
2023-03-06,XOM,0.98066956,0,0,0,0
2023-03-07,XOM,0.9853955,0,0,0,0
2023-03-08,XOM,0.9922714,0,0,0,0
2023-03-09,XOM,0.98762935,0,0,0,0
2023-03-10,XOM,0.9884951,0,0,0,0
2023-03-13,XOM,1.0037545,0,0,0,0
2023-03-14,XOM,0.9502525,0,0,0,0
2023-03-15,XOM,0.9941939,0,0,0,0
2023-03-16,XOM,0.9882214,0,0,0,0
2023-03-17,XOM,1.0261418,0,0,0,0
2023-03-20,XOM,1.0448023,0,0,0,0
2023-03-21,XOM,0.97711134,0,0,0,0
2023-03-22,XOM,0.988718,0,0,0,0
2023-03-23,XOM,1.0011603,0,0,0,0
2023-03-24,XOM,1.021926,0,0,0,0
2023-03-27,XOM,1.0124763,0,0,0,0
2023-03-28,XOM,1.017177,0,0,0,0
2023-03-29,XOM,1.0048641,0,0,0,0
2023-03-30,XOM,1.0015527,1,1,0,0
2023-03-31,XOM,1.0590006,0,1,0,0
2023-04-03,XOM,0.9904417,0,1,0,0
2023-04-04,XOM,1.0171275,0,0,0,0
2023-04-05,XOM,0.9834174,0,0,0,0
2023-04-06,XOM,0.9955671,0,0,0,0
2023-04-10,XOM,1.0070717,0,0,0,0
2023-04-11,XOM,0.9989598,0,0,0,0
2023-04-12,XOM,1.0046862,0,0,0,0
2023-04-13,XOM,1.0024186,0,0,0,0
2023-04-14,XOM,0.9883671,0,0,0,0
2023-04-17,XOM,1.0195292,0,0,0,0
2023-04-18,XOM,0.9968359,0,0,0,0
2023-04-19,XOM,0.9920221,0,0,0,0
2023-04-20,XOM,1.0031996,0,0,0,0
2023-04-21,XOM,1.0188776,0,0,0,0
2023-04-24,XOM,0.9857868,0,0,0,0
2023-04-25,XOM,0.990817,0,0,0,0
2023-04-26,XOM,1.0119534,0,0,0,0
2023-04-27,XOM,1.0129247,0,0,0,0
2023-04-28,XOM,0.96898764,0,0,0,0
2023-05-01,XOM,0.96014655,0,0,0,0
2023-05-02,XOM,0.98029065,0,0,0,0
2023-05-03,XOM,0.9824888,0,0,0,0
2023-05-04,XOM,1.0248963,0,0,0,0
2023-05-05,XOM,1.0039566,0,0,0,0
2023-05-08,XOM,1.0002749,0,0,0,0
2023-05-09,XOM,0.98717254,0,0,0,0
2023-05-10,XOM,0.98190075,0,0,0,0
2023-05-11,XOM,0.9999056,0,0,0,0
2023-05-12,XOM,1.0019071,0,0,0,0
2023-05-15,XOM,0.9757304,0,0,0,0
2023-05-16,XOM,1.0224347,0,0,0,0
2023-05-17,XOM,1.0090631,0,0,0,0
2023-05-18,XOM,1.0046327,0,0,0,0
2023-05-19,XOM,0.9878599,0,0,0,0
2023-05-22,XOM,1.0136229,0,0,0,0
2023-05-23,XOM,1.0111842,0,0,0,0
2023-05-24,XOM,0.98206156,0,0,0,0
2023-05-25,XOM,0.99346966,0,0,0,0
2023-05-26,XOM,0.99114025,0,0,0,0
2023-05-30,XOM,0.98212236,0,0,0,0
2023-05-31,XOM,1.0115483,0,0,0,0
2023-06-01,XOM,1.02322,0,0,0,0
2023-06-02,XOM,0.9955559,0,0,0,0
2023-06-05,XOM,1.0081679,0,0,0,0
2023-06-06,XOM,1.0224212,0,0,0,0
2023-06-07,XOM,0.9968672,0,0,0,0
2023-06-08,XOM,0.99260557,0,0,0,0
2023-06-09,XOM,0.9909675,0,0,0,0
2023-06-12,XOM,1.0001879,0,0,0,0
2023-06-13,XOM,0.98797446,0,0,0,0
2023-06-14,XOM,1.0069417,0,0,0,0
2023-06-15,XOM,0.9928228,0,0,0,0
2023-06-16,XOM,0.977076,0,0,0,0
2023-06-20,XOM,1.0111955,0,0,0,0
2023-06-21,XOM,0.9945124,0,0,0,0
2023-06-22,XOM,0.9912875,0,0,0,0
2023-06-23,XOM,1.018457,0,0,0,0
2023-06-26,XOM,1.0024931,0,0,0,0
2023-06-27,XOM,1.0081301,0,0,0,0
2023-06-28,XOM,1.0123339,0,0,0,0
2023-06-29,XOM,1.0051546,0,0,0,0
2023-06-30,XOM,1.001958,0,0,0,0
2023-07-03,XOM,0.99488187,0,0,0,0
2023-07-05,XOM,0.96267897,0,0,0,0
2023-07-06,XOM,1.0023319,0,0,0,0
2023-07-07,XOM,1.0148313,0,0,0,0
2023-07-10,XOM,1.0122266,0,0,0,0
2023-07-11,XOM,1.004907,0,0,0,0
2023-07-12,XOM,0.98168844,0,0,0,0
2023-07-13,XOM,0.9655635,0,0,0,0
2023-07-14,XOM,1.004359,0,0,0,0
2023-07-17,XOM,0.99546254,0,0,0,0
2023-07-18,XOM,1.0069363,0,0,0,0
2023-07-19,XOM,1.0176147,0,0,0,0
2023-07-20,XOM,1.0046417,0,0,0,0
2023-07-21,XOM,1.0156896,0,0,0,0
2023-07-24,XOM,1.0015163,0,0,0,0
2023-07-25,XOM,0.994417,0,0,0,0
2023-07-26,XOM,1.0031401,0,0,0,0
2023-07-27,XOM,0.98804796,0,0,0,0
2023-07-28,XOM,1.0295699,0,0,0,0
2023-07-31,XOM,0.9942185,0,0,0,0
2023-08-01,XOM,0.9875258,0,0,0,0
2023-08-02,XOM,1.0173805,0,0,0,0
2023-08-03,XOM,1.0028006,0,0,0,0
2023-08-04,XOM,0.997952,0,0,0,0
2023-08-07,XOM,1.0049442,0,0,0,0
2023-08-08,XOM,1.0169868,0,0,0,0
2023-08-09,XOM,1.0051113,0,0,0,0
2023-08-10,XOM,1.0155284,0,0,0,0
2023-08-11,XOM,1.0008047,0,0,0,0
2023-08-14,XOM,0.97432667,0,0,0,0
2023-08-15,XOM,0.98317313,0,0,0,0
2023-08-16,XOM,1.0193719,0,0,0,0
2023-08-17,XOM,1.0151291,0,0,0,0
2023-08-18,XOM,0.9879134,0,0,0,0
2023-08-21,XOM,0.99438876,0,0,0,0
2023-08-22,XOM,0.9912119,0,0,0,0
2023-08-23,XOM,0.99253374,0,0,0,0
2023-08-24,XOM,1.0178655,0,0,0,0
2023-08-25,XOM,1.0084065,0,0,0,0
2023-08-28,XOM,1.0059545,0,0,0,0
2023-08-29,XOM,1.0097442,0,0,0,0
2023-08-30,XOM,1.0027958,0,0,0,0
2023-08-31,XOM,1.0209551,0,0,0,0
2023-09-01,XOM,1.0000881,0,0,0,0
2023-09-05,XOM,1.0086321,0,0,0,0
2023-09-06,XOM,0.9951095,0,0,0,0
2023-09-07,XOM,1.0145679,0,0,0,0
2023-09-08,XOM,0.9874578,0,0,0,0
2023-09-11,XOM,1.0291696,0,0,0,0
2023-09-12,XOM,0.99106306,0,0,0,0
2023-09-13,XOM,1.0178632,0,0,0,0
2023-09-14,XOM,0.984644,0,0,0,0
2023-09-15,XOM,1.0080549,0,0,0,0
2023-09-18,XOM,0.9973649,0,0,0,0
2023-09-19,XOM,0.99207354,0,0,0,0
2023-09-20,XOM,0.98591065,0,0,0,0
2023-09-21,XOM,1.0015684,0,0,0,0
2023-09-22,XOM,1.0112233,0,0,0,0
2023-09-25,XOM,1.0015486,0,0,0,0
2023-09-26,XOM,1.0325572,0,0,0,0
2023-09-27,XOM,0.9939268,0,0,0,0
2023-09-28,XOM,0.98418015,0,0,0,0
2023-09-29,XOM,0.9834155,0,0,0,0
2023-10-02,XOM,1.0017297,0,0,0,0
2023-10-03,XOM,0.96261764,0,0,0,0
2023-10-04,XOM,0.97748876,0,0,0,0
2023-10-05,XOM,0.9833013,0,1,0,0
2023-10-06,XOM,1.0349911,0,0,0,0
2023-10-09,XOM,0.9957627,0,0,0,0
2023-10-10,XOM,0.9641467,0,0,0,0
2023-10-11,XOM,0.9998122,0,0,0,0
2023-10-12,XOM,1.0319339,0,0,0,0
2023-10-13,XOM,1.000728,0,0,0,0
2023-10-16,XOM,1.0130969,0,0,0,0
2023-10-17,XOM,1.0140047,0,0,0,0
2023-10-18,XOM,1.0006198,0,0,0,0
2023-10-19,XOM,0.9828349,0,0,0,0
2023-10-20,XOM,0.9853259,0,0,0,0
2023-10-23,XOM,0.99031526,0,0,0,0
2023-10-24,XOM,1.0018451,0,0,0,0
2023-10-25,XOM,0.99088323,0,0,0,0
2023-10-26,XOM,0.980948,0,0,0,0
2023-10-27,XOM,1.0031264,0,0,0,0
2023-10-30,XOM,0.9997167,0,0,0,0
2023-10-31,XOM,0.99801606,0,0,0,0
2023-11-01,XOM,1.0328474,0,0,0,0
2023-11-02,XOM,0.98781043,0,0,0,0
2023-11-03,XOM,0.98227876,0,0,0,0
2023-11-06,XOM,0.9843204,0,0,0,0
2023-11-07,XOM,0.9877171,0,0,0,0
2023-11-08,XOM,1.0002915,0,0,0,0
2023-11-09,XOM,1.0076729,0,0,0,0
2023-11-10,XOM,1.0105059,0,0,0,0
2023-11-13,XOM,1.0038503,0,0,0,0
2023-11-14,XOM,0.9939591,0,0,0,0
2023-11-15,XOM,0.98842365,0,0,0,0
2023-11-16,XOM,1.0243998,0,0,0,0
2023-11-17,XOM,0.99561745,0,0,0,0
2023-11-20,XOM,0.9996172,0,0,0,0
2023-11-21,XOM,0.99569213,0,0,0,0
2023-11-22,XOM,1.0053841,0,0,0,0
2023-11-24,XOM,0.99416655,0,0,0,0
2023-11-27,XOM,0.99942297,0,0,0,0
2023-11-28,XOM,0.98498553,0,0,0,0
2023-11-29,XOM,1.0039086,0,0,0,0
2023-11-30,XOM,1.0024333,0,0,0,0
2023-12-01,XOM,0.99456257,0,0,0,0
2023-12-04,XOM,0.9805721,0,0,0,0
2023-12-05,XOM,0.98675823,0,0,0,0
2023-12-06,XOM,0.99303806,0,0,0,0
2023-12-07,XOM,1.0114815,0,0,0,0
2023-12-08,XOM,1.0007031,0,0,0,0
2023-12-11,XOM,0.9842402,0,0,0,0
2023-12-12,XOM,1.0088729,0,0,0,0
2023-12-13,XOM,1.0268905,0,0,0,0
